Formula	Mass	Element	Classification	D00R01	D00R02	D00R03	D00R04	D00R05	D00R06	D03R01	D03R02	D03R03	D03R04	D03R05	D03R06	D06R01	D06R02	D06R03	D06R04	D06R05	D06R06	D09R01	D09R02	D09R03	D09R04	D09R05	D09R06	D12R01	D12R02	D12R03	D12R04	D12R05	D12R06	D24R01	D24R02	D24R03	D24R04	D24R05	D24R06	D48R01	D48R02	D48R03	D48R04	D48R05	D48R06	D96R01	D96R02	D96R03	D96R04	D96R05	D96R06
C10H10O7N2S2	333.992945	CH(O)NS	tannins	0	0	0	0	0	0	0	0	0	0	3.96E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O7S	274.014726	CH(O)S	tannins	0	0	0	0	0	0	3.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.58E-05	0	0	0	0	0	0	0	0	0	0	0	3.25E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O8	258.03757	CH(O)	tannins	0	0	0.000104748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O8S2	321.981712	CH(O)S	tannins	0	0	0	0	0	0	0	0	0	0	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H10O9N2S	334.010704	CH(O)NS	tannins	0	0	0	0	0	0	0	3.73E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H11O12N2P	382.004965	CH(O)NP	tannins	0	0	0	0	0	0	5.37E-05	5.66E-05	5.89E-05	7.16E-05	6.42E-05	0.000245273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H11O3N	193.073894	CH(O)N	lignin	0	0	0	0	0	0	3.13E-05	3.65E-05	5.15E-05	0	3.24E-05	0	0	0	4.34E-05	5.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H11O4N	209.068809	CH(O)N	lignin	0	0	0	0	0	0	0	0	0	0	0	0	3.78E-05	4.09E-05	6.49E-05	0.000104683	5.16E-05	0	4.63E-05	0	3.98E-05	8.05E-05	0	0	5.51E-05	0	8.40E-05	0	5.32E-05	0	0.000104906	3.61E-05	0.000190911	3.43E-05	3.01E-05	3.66E-05	0	0	0.000296522	0	0	0	0.000108639	0.000175399	0.000611043	0.000169475	0	0
C10H11O4NS	241.04088	CH(O)NS	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H11O5N	225.063724	CH(O)N	lignin	0	0	0	0	0	0	7.63E-05	0.000345658	0.000201211	7.13E-05	8.49E-05	8.43E-05	4.40E-05	6.05E-05	5.27E-05	5.99E-05	5.94E-05	5.86E-05	7.57E-05	6.81E-05	5.55E-05	0.000109994	7.69E-05	4.66E-05	3.26E-05	3.87E-05	0	0	5.04E-05	3.78E-05	3.13E-05	9.21E-05	4.53E-05	5.45E-05	7.99E-05	4.90E-05	8.00E-05	0	0	0	0.000170383	0	0.000118472	0.000162809	0	0	0.000178364	0
C10H11O5NS	257.035795	CH(O)NS	lignin	0	0	0	0	0	0	0	3.02E-05	5.01E-05	4.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H11O6N	241.058639	CH(O)N	lignin	0	0	0	0	0	9.94E-05	7.64E-05	0.000100886	0.000257726	7.98E-05	8.87E-05	0.000122611	3.21E-05	0	4.43E-05	0	0	3.30E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.44E-05	4.78E-05	3.62E-05	2.84E-05	0	0	0.000136415	0	0	0	0	0	0	0	0	0	0
C10H11O6NS	273.03071	CH(O)NS	lignin	0	0	0	0	0	0	3.73E-05	0	0	3.84E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H11O9N2P	334.02022	CH(O)NP	tannins	0	0	0	0	0	0	4.72E-05	0	6.61E-05	0	4.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H12N2S	192.072119	CH(O)NS	unsaturated hydrocarbons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167138	0	0	0	0	0	0
C10H12N3P	205.076884	CH(O)NP	unsaturated hydrocarbons	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.64E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H12O3	180.078645	CH(O)	lignin	0	0	0	0	0	0	0	6.15E-05	0.000165916	4.23E-05	0	4.75E-05	3.07E-05	7.13E-05	3.66E-05	0.000114899	0	0	5.19E-05	9.56E-05	8.89E-05	0.000168161	0.000105613	5.52E-05	3.45E-05	9.55E-05	5.03E-05	0.000156982	7.17E-05	6.84E-05	3.56E-05	0.000188523	0	0.000170768	0.000110915	5.82E-05	9.69E-05	0.000392585	0.000261618	0.000338742	0.000363452	0	0.00016526	0.000426458	0.000263564	0.00023788	0.000251693	0.00020826
C10H12O4	196.07356	CH(O)	lignin	0.001604148	0.002090156	0.00207866	0.003028814	0.001861035	0.00191582	0.001504463	0.002049673	0.002114195	0.001987931	0.001193842	0.002118239	0.001927753	0.000166125	0.000232123	0.005528475	0.001169802	0.000137272	0.002262306	0.000310054	0.000372826	0.002427466	0.003014482	0.000218549	0.00137912	0.000211828	0.000363231	0.001060953	0.000954808	5.33E-05	8.17E-05	0.000204582	0.000130323	0.000715453	0.000890999	5.59E-05	6.83E-05	0.000263591	0.000173031	0.000822644	0.000592164	0	0.000116291	0.000180418	0.000189543	0.000154769	0.000202619	0
C10H12O4N4	252.085856	CH(O)N	lignin	0	0	0	0	0	0	0	3.90E-05	0	0	6.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H12O4S	228.045631	CH(O)S	lignin	0	0	0	0	0	0	0	0	0	0	4.35E-05	0	0	0.000124517	0.000292439	0.000112715	0.000214991	0.000113507	5.86E-05	0	0.000106055	0.000195294	0.000233677	0	0	0	0.000114081	0	0	0	0	0	0.000180804	0	0	0	0.000156812	0	0	0	0	0	0.000360516	0	0	0	0	0
C10H12O4S2	260.017702	CH(O)S	lignin	0	0	0	0	0	0	0	0	0	0	0	0	5.21E-05	0.000134058	0.000160291	0.000116862	0.00018579	8.17E-05	0.000224898	4.74E-05	0.000182953	0.000163778	0.000346187	9.65E-05	0.000147631	0	0.000360015	0	0	7.63E-05	0.000212981	0	0.000294274	0	0	5.12E-05	0	0	0.000178598	0	0	0	0	0	0	0	0	0
C10H12O5	212.068475	CH(O)	lignin	0.000108184	9.66E-05	9.75E-05	0.000143018	0.000111754	0	0.000138777	0.000291661	0.000269954	0.000147362	0.00011625	0.00038864	0.000144814	0.000269686	8.45E-05	0.000299445	0.000100678	3.59E-05	0.000162643	0.002074085	0.000223307	0.000180493	0.000248457	0.000734959	9.78E-05	0.000256606	9.01E-05	0.000224201	0.000372338	7.44E-05	3.79E-05	0.000548439	0.00019935	0.000267388	0.000377227	0.00016417	0.000193032	0.00095885	0.000727894	0.00059982	0.00083094	0.000681273	0.000664278	0.001234722	0.000843857	0.000649977	0.00108446	0.001220198
C10H12O5N2	240.074623	CH(O)N	lignin	0	0	0	0	0	0	0	0	6.27E-05	0	0	3.23E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H12O5S	244.040546	CH(O)S	lignin	0	0	0	0	0	0	6.29E-05	5.90E-05	5.48E-05	8.48E-05	6.15E-05	8.88E-05	0.000123051	0.00011963	0.000217289	0.000181325	0.000166581	0.000100688	0.000112412	6.80E-05	0.000125722	0.000178348	0.000250319	6.25E-05	9.38E-05	4.54E-05	0.000142669	0	6.03E-05	4.75E-05	0.000122921	0	0.000178929	6.41E-05	5.44E-05	0	0.000133536	0.000175745	0.000256394	0.000233997	0.000244271	0	0.000235422	0.000167742	0.000299014	0.000187483	0.000195776	0
C10H12O5S2	276.012617	CH(O)S	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H12O6	228.06339	CH(O)	lignin	0	9.48E-05	0	0	0	9.50E-05	0.000171198	0.000148523	0.000201673	0.000150508	0.000150572	0.000167	4.98E-05	4.22E-05	0.000111848	5.84E-05	4.30E-05	5.54E-05	9.66E-05	3.88E-05	0.00015546	0.000193907	0.000162371	7.47E-05	3.87E-05	0	4.17E-05	0	4.20E-05	0	3.60E-05	7.67E-05	8.06E-05	6.80E-05	6.06E-05	4.99E-05	7.44E-05	0	0	0.000162876	0.000150435	0	0.000120823	0.000154922	0.00019817	0.000163383	0	0
C10H12O6N2S	288.041609	CH(O)NS	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011674	0	0
C10H12O6S	260.035461	CH(O)S	lignin	9.97E-05	0	0	0	0	0	7.34E-05	8.82E-05	0.000169486	0.000109823	7.15E-05	0.000116195	0.002340882	0.001383263	0.002603394	0.004310951	0.002001933	0.00227972	0.000952346	0.000491673	0.00106532	0.004271941	0.003084462	0.000441313	0.000503175	0.000259676	0.000735371	6.90E-05	9.08E-05	0.000310798	8.62E-05	3.71E-05	0.000133221	6.10E-05	3.73E-05	4.61E-05	0.000173928	0	0.000436924	0.00022039	0.000276411	0	0.000358	0.000178427	0.000381768	0.000235803	0.00018453	0
C10H12O7	244.058305	CH(O)	tannins	0.000101083	0.000110359	0	0.000103092	0.000100488	0.000123746	7.98E-05	8.89E-05	0.000108008	0.000103213	0.000104542	8.96E-05	0	0	4.24E-05	5.47E-05	3.71E-05	3.66E-05	5.21E-05	4.94E-05	0	0.000105805	9.28E-05	6.21E-05	0	0	3.26E-05	0	0	0	3.04E-05	0	0	0	0	4.19E-05	6.50E-05	0	0	0	0	0	0.000133916	0	0	0.000140456	0.00041938	0.000247428
C10H12O7N2	272.064453	CH(O)N	tannins	0	0	0	0	0	0	0	0	0	3.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H12O7S	276.030376	CH(O)S	tannins	0	0	0	0.000129952	0.000120319	0	0.000122542	0.000175242	0.000155907	0.000162467	0.000128343	0.00016364	0	0	0	7.40E-05	0	0	0.000103642	0	0	0.000173385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000267987	0	0	0.000149288	0	0	0.000115676	0	0
C10H12O7S2	308.002447	CH(O)S	tannins	0	0	0	0	0	0	0	0	0	0	0	0	7.51E-05	0.000124519	0.000144422	9.08E-05	0.000146361	0.000146394	7.85E-05	5.88E-05	5.62E-05	9.22E-05	0.000149104	9.17E-05	6.96E-05	0	4.09E-05	0	4.53E-05	0.000105071	0	0	0.000104686	0	4.85E-05	6.60E-05	0	0	0.000153879	0	0.000164649	0	0.000142251	0.000213463	0.000237916	0.000187212	0.000175072	0
C10H12O8S2	323.997362	CH(O)S	tannins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81E-05	0	0	3.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O2N	179.094629	CH(O)N	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O3N	195.089544	CH(O)N	lignin	0.000165488	0.000156134	0.000143297	0	0.000154128	0.000193586	0.000101858	0.000254232	0.000272067	3.85E-05	6.87E-05	0.000122783	6.64E-05	4.15E-05	0	0	0	5.85E-05	0	0	0	0	0	0	3.62E-05	0	3.89E-05	0	9.02E-05	0	4.32E-05	0.00016766	0	0	3.08E-05	5.39E-05	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O4N	211.084459	CH(O)N	lignin	0	0	0	0.000103178	0	0	5.79E-05	7.58E-05	0.000116815	7.20E-05	6.70E-05	5.75E-05	0	0	0	0	0	0	0	0	0	0	0	3.34E-05	0	0	0	0	0	0	3.25E-05	3.74E-05	0	3.49E-05	2.85E-05	0	0	0.000116059	0	0	0	0	0	0.000129544	0	0	0	0
C10H13O4NS	243.05653	CH(O)NS	lignin	0	0	0	0	0	0	0	3.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.49E-05	0	4.66E-05	0	0	0	0.00016685	0	0	0	0	0	0	0	0	0	0
C10H13O5N	227.079374	CH(O)N	lignin	0	0	0	0	0	0	3.35E-05	4.29E-05	0	0	4.08E-05	3.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O5NS	259.051445	CH(O)NS	lignin	0	0	0	0	0	0	5.51E-05	5.08E-05	6.00E-05	5.67E-05	3.98E-05	5.40E-05	0	0	0	0	0	0	0	0	0	4.96E-05	6.22E-05	0	0	0	0	0	0	0	2.91E-05	3.71E-05	0	4.17E-05	3.88E-05	0	0	0.000144734	0.000156382	0.000223667	0.000187036	0	0.000193236	0.000191006	0.000174442	0.000202663	0.000204935	0
C10H13O5NS2	291.023516	CH(O)NS	lignin	0	0	0	0	0	0	3.19E-05	0	0	0	0	0	5.09E-05	5.36E-05	0	0	3.51E-05	3.18E-05	0.000110701	0	3.53E-05	9.72E-05	0.000135785	4.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O6N	243.074289	CH(O)N	lignin	0	0	0	0	0	0	5.71E-05	5.79E-05	8.56E-05	6.96E-05	7.00E-05	6.28E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O6NS	275.04636	CH(O)NS	lignin	0	0	0.00011586	0	0.000104532	0	0.000134847	0.000121922	0.000244402	0.000165485	0.000112866	0.000135579	0	0	4.73E-05	6.64E-05	0	0	0	0	0	9.19E-05	6.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O6NS2	307.018431	CH(O)NS	lignin	0	0	0	0	0	0	0	0	5.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O7N	259.069204	CH(O)N	tannins	0	0	0	0	0	0	5.30E-05	0	7.06E-05	4.74E-05	5.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O7NS	291.041275	CH(O)NS	tannins	0	0	0	0	0	0	4.66E-05	4.37E-05	0	4.67E-05	0	4.22E-05	0	0	3.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H13O8N	275.064119	CH(O)N	tannins	0	0	0	0	0	0	0	0	4.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14N4S	222.093917	CH(O)NS	unsaturated hydrocarbons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14O3	182.094295	CH(O)	lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000147084	0	0	0	0	0	0	0	0.000118138	0.000133594	0
C10H14O3N2S	242.072514	CH(O)NS	lignin	0	0	0	0	0	0	0	0	4.85E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14O4	198.08921	CH(O)	lignin	0	0	0	0	0	9.22E-05	4.35E-05	5.81E-05	5.56E-05	6.28E-05	5.47E-05	7.96E-05	0	0	3.86E-05	6.03E-05	0	0	4.03E-05	4.51E-05	4.17E-05	6.41E-05	7.78E-05	4.08E-05	3.21E-05	4.43E-05	4.04E-05	5.56E-05	0	0	4.01E-05	6.24E-05	4.09E-05	7.49E-05	4.93E-05	3.10E-05	7.21E-05	0.000171354	0.000169392	0.000187144	0.000156634	0	0.000108554	0	0.000178051	0.000157687	0.000140542	0
C10H14O4N2	226.095358	CH(O)N	lignin	0.000282056	0.000318268	0.000248244	0.000222439	0.000238934	0.000253297	0.004748318	0.000134934	0.002739939	0.001712103	0.000690858	0.004462693	0	3.93E-05	0	0	0	0	3.75E-05	0	0	5.15E-05	0	0	0	3.63E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115881	0	0	0	0.00011356	0
C10H14O4S	230.061281	CH(O)S	lignin	0	0	0	0	0	0	3.71E-05	4.21E-05	0	5.07E-05	0	0	0	0	0	0	0	0	3.63E-05	0	0	6.12E-05	0	0	0	0	0	0	0	0	0	0	0	4.79E-05	0	0	0	0	0.00013439	0.000182236	0	0	0.00011283	0	0	0.000145628	0.000143235	0
C10H14O5	214.084125	CH(O)	lignin	0.00012143	0.000128589	0.0001742	0.000125831	0.000107156	0.00019313	0.000132417	0.000126407	0.000146441	0.000112655	0.000121177	0.000157052	6.37E-05	5.36E-05	6.03E-05	9.85E-05	5.72E-05	4.05E-05	5.38E-05	4.50E-05	5.95E-05	9.56E-05	8.83E-05	6.68E-05	5.04E-05	6.14E-05	5.73E-05	8.99E-05	6.36E-05	4.08E-05	6.27E-05	9.18E-05	5.49E-05	0.000116544	6.92E-05	4.23E-05	0.000138492	0.000242947	0	0.000280589	0.00033515	0.000156275	0	0.000210188	0	0.00027581	0.000341797	0
C10H14O5N2	242.090273	CH(O)N	lignin	0	0	0	0	0	0	2.95E-05	0	0	0	3.67E-05	3.67E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14O5S	246.056196	CH(O)S	lignin	0	0	0	0	0	0	6.30E-05	7.11E-05	4.77E-05	9.18E-05	7.56E-05	9.25E-05	3.17E-05	3.57E-05	4.20E-05	5.41E-05	0	4.75E-05	6.53E-05	5.41E-05	3.46E-05	7.83E-05	7.43E-05	3.87E-05	3.21E-05	0	0	0	0	0	3.32E-05	9.38E-05	0	7.45E-05	5.46E-05	4.81E-05	0	0.000201313	0.000150378	0.000271867	0.000189845	0	0.000135356	0.000121704	0	0.000177884	0.000160377	0
C10H14O6	230.07904	CH(O)	lignin	0.000134722	0.000170509	0.000134323	0.000125543	0.000114407	0.000134667	0.000112762	0.000118797	0.000146454	9.92E-05	0.000119255	0.000174241	6.31E-05	5.26E-05	7.01E-05	6.91E-05	6.36E-05	4.68E-05	7.92E-05	5.95E-05	7.34E-05	0.000130286	9.03E-05	8.25E-05	4.89E-05	5.46E-05	5.34E-05	7.22E-05	7.80E-05	3.82E-05	7.90E-05	0.000101255	0.000101159	0.000148397	7.04E-05	5.72E-05	0.000122099	0.000339481	0.000342993	0.000337363	0.000275104	0	0.000316122	0.000264756	0.00021495	0.000272019	0.00024464	0
C10H14O6N2	258.085188	CH(O)N	lignin	0.000144504	0.000218423	0.000179253	0.000130143	0.000255731	0.000225079	4.17E-05	3.61E-05	0.000340325	4.90E-05	6.81E-05	0.000104376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14O6N2S	290.057259	CH(O)NS	lignin	0	0	0	0	0	0	4.21E-05	6.79E-05	0	4.57E-05	3.89E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14O6S	262.051111	CH(O)S	lignin	0	0	0	0	0	0	0	3.75E-05	0	5.48E-05	4.20E-05	4.32E-05	0	0	0	0	0	0	0	0	0	5.65E-05	5.40E-05	0	0	0	0	0	0	0	0	3.20E-05	0	0	3.12E-05	0	0	0	0	0	0	0	0	0	0	0	0.000119858	0
C10H14O7	246.073955	CH(O)	tannins	0	0	0	0	0	0	6.33E-05	6.48E-05	6.40E-05	7.38E-05	7.66E-05	0.000102298	0	0	0	0	0	0	0	0	0	0	0	3.68E-05	0	0	0	0	0	0	0	0	0	4.09E-05	0	0	0	0	0	0	0	0	0	0.000133393	0	0.000164661	0	0
C10H14O7S	278.046026	CH(O)S	tannins	0	0	0	0	0	0	4.17E-05	3.90E-05	0	0	6.39E-05	3.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121465	0.000134993	0
C10H14O8	262.06887	CH(O)	tannins	0	0	0	0	0	0	4.38E-05	4.99E-05	0	3.39E-05	7.17E-05	5.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H14O8S2	326.013012	CH(O)S	tannins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000146877	0
C10H14O9	278.063785	CH(O)	tannins	0	0	0	0	0	0	0	0	0	0	0	3.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10H15O3N	197.105194	CH(O)N	lipids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60E-05	0	0	0	0	0	0	0	0	0	0	5.64E-05	5.04E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
